0x80000000:jal    zero,0x00050     pc=0x800000a0,zero=0x80000004
0x80000288:addi   t3,t3,0x323   t3=0x23232000+0x00000323=0x23232323
0x8000028c:lui    t4,0x24242     t4=0x24242000
0x80000290:addi   t4,t4,0x424   t4=0x24242000+0x00000424=0x24242424
0x80000294:lui    t5,0x25252     t5=0x25252000
0x80000298:addi   t5,t5,0x525   t5=0x25252000+0x00000525=0x25252525
0x8000029c:lui    t6,0x26262     t6=0x26262000
0x800002a0:addi   t6,t6,0x626   t6=0x26262000+0x00000626=0x26262626
0x800002a4:lui    s0,0x44444     s0=0x44444000
0x800002a8:addi   s0,s0,0x444   s0=0x44444000+0x00000444=0x44444444
0x800002ac:lui    s1,0x55555     s1=0x55555000
0x800002b0:addi   s1,s1,0x555   s1=0x55555000+0x00000555=0x55555555
0x800002b4:lui    s2,0x66666     s2=0x66666000
0x800002b8:addi   s2,s2,0x666   s2=0x66666000+0x00000666=0x66666666
0x800002bc:lui    s3,0x77777     s3=0x77777000
0x800002c0:addi   s3,s3,0x777   s3=0x77777000+0x00000777=0x77777777
0x800002c4:lui    s4,0x88889     s4=0x88889000
0x800002c8:addi   s4,s4,0x888   s4=0x88889000+0xfffff888=0x88888888
0x800002cc:lui    s5,0x9999a     s5=0x9999a000
0x800002d0:addi   s5,s5,0x999   s5=0x9999a000+0xfffff999=0x99999999
0x800002d4:lui    s6,0xaaaab     s6=0xaaaab000
0x800002d8:addi   s6,s6,0xaaa   s6=0xaaaab000+0xfffffaaa=0xaaaaaaaa
0x800002dc:lui    s7,0xbbbbc     s7=0xbbbbc000
0x800002e0:addi   s7,s7,0xbbb   s7=0xbbbbc000+0xfffffbbb=0xbbbbbbbb
0x800002e4:lui    s8,0xccccd     s8=0xccccd000
0x800002e8:addi   s8,s8,0xccc   s8=0xccccd000+0xfffffccc=0xcccccccc
0x800002ec:lui    s9,0xdddde     s9=0xdddde000
0x800002f0:addi   s9,s9,0xddd   s9=0xdddde000+0xfffffddd=0xdddddddd
0x800002f4:lui    s10,0xeeeef     s10=0xeeeef000
0x800002f8:addi   s10,s10,0xeee   s10=0xeeeef000+0xfffffeee=0xeeeeeeee
0x800002fc:addi   s11,zero,0xfff   s11=0x00000000+0xffffffff=0xffffffff
0x80000300:jalr   zero,ra,0x000   pc=0x800009e4+0x00000000,zero=0x80000304
0x800009e4:jal    ra,0xffc90     pc=0x80000304,ra=0x800009e8
0x80000304:beq    sp,ra,0x000  (0x80007ff0==0x800009e8)=0->pc=0x80000308
0x80000308:beq    zero,gp,0x000  (0x00000000==0x01010101)=0->pc=0x8000030c
0x8000030c:beq    tp,t6,0x000  (0x10101010==0x26262626)=0->pc=0x80000310
0x80000310:beq    s11,a6,0x000  (0xffffffff==0xa6a6a6a6)=0->pc=0x80000314
0x80000314:beq    s7,s7,0x002  (0xbbbbbbbb==0xbbbbbbbb)=1->pc=0x80000318
0x80000318:bne    zero,zero,0x000  (0x00000000!=0x00000000)=0->pc=0x8000031c
0x8000031c:bne    gp,gp,0x000  (0x01010101!=0x01010101)=0->pc=0x80000320
0x80000320:bne    tp,tp,0x000  (0x10101010!=0x10101010)=0->pc=0x80000324
0x80000324:bne    a2,a2,0x000  (0xa2a2a2a2!=0xa2a2a2a2)=0->pc=0x80000328
0x80000328:bne    a5,s10,0x002  (0xa5a5a5a5!=0xeeeeeeee)=1->pc=0x8000032c
0x8000032c:blt    s0,t6,0x000  (0x44444444<0x26262626)=0->pc=0x80000330
0x80000330:blt    tp,a7,0x000  (0x10101010<0xa7a7a7a7)=0->pc=0x80000334
0x80000334:blt    s9,s9,0x000  (0xdddddddd<0xdddddddd)=0->pc=0x80000338
0x80000338:blt    s11,a0,0x000  (0xffffffff<0xa0a0a0a0)=0->pc=0x8000033c
0x8000033c:blt    s4,gp,0x002  (0x88888888<0x01010101)=1->pc=0x80000340
0x80000340:bge    s8,t1,0x000  (0xcccccccc>=0x21212121)=0->pc=0x80000344
0x80000344:bge    t3,t5,0x000  (0x23232323>=0x25252525)=0->pc=0x80000348
0x80000348:bge    a3,t1,0x000  (0xa3a3a3a3>=0x21212121)=0->pc=0x8000034c
0x8000034c:bge    gp,tp,0x000  (0x01010101>=0x10101010)=0->pc=0x80000350
0x80000350:bge    s3,s11,0x002  (0x77777777>=0xffffffff)=1->pc=0x80000354
0x80000354:bltu   s11,s10,0x000  (0xffffffff<0xeeeeeeee)=0->pc=0x80000358
0x80000358:bltu   s3,t5,0x000  (0x77777777<0x25252525)=0->pc=0x8000035c
0x8000035c:bltu   a4,t4,0x000  (0xa4a4a4a4<0x24242424)=0->pc=0x80000360
0x80000360:bltu   tp,tp,0x000  (0x10101010<0x10101010)=0->pc=0x80000364
0x80000364:bltu   s11,zero,0x002  (0xffffffff<0x00000000)=0->pc=0x80000368
0x80000368:bgeu   s10,s11,0x000  (0xeeeeeeee>=0xffffffff)=0->pc=0x8000036c
0x8000036c:bgeu   t4,s4,0x000  (0x24242424>=0x88888888)=0->pc=0x80000370
0x80000370:bgeu   a3,a4,0x000  (0xa3a3a3a3>=0xa4a4a4a4)=0->pc=0x80000374
0x80000374:bgeu   gp,a5,0x000  (0x01010101>=0xa5a5a5a5)=0->pc=0x80000378
0x80000378:bgeu   s11,s2,0x002  (0xffffffff>=0x66666666)=1->pc=0x8000037c
0x8000037c:jalr   zero,ra,0x000   pc=0x800009e8+0x00000000,zero=0x80000380
0x800009e8:jal    ra,0xffccc     pc=0x80000380,ra=0x800009ec
0x80000380:slli   t0,ra,30      t0=0x800009ec<<30=0x00000000
0x80000384:slli   t1,a1,24      t1=0xa1a1a1a1<<24=0xa1000000
0x80000388:slli   t2,s2,20      t2=0x66666666<<20=0x66600000
0x8000038c:slli   t3,t5,16      t3=0x25252525<<16=0x25250000
0x80000390:slli   zero,s11,30      zero=0xffffffff<<30=0xc0000000
0x80000394:beq    zero,s11,0x000  (0x00000000==0xffffffff)=0->pc=0x80000398
0x80000398:slti   t3,t0,0x007   t3=(0x00000000<0x00000007)=1
0x8000039c:slti   t4,s11,0xfff   t4=(0xffffffff<0xffffffff)=0
0x800003a0:slti   t5,s3,0x700   t5=(0x77777777<0x00000700)=0
0x800003a4:slti   t6,s4,0xfff   t6=(0x88888888<0xffffffff)=1
0x800003a8:slti   zero,gp,0x4d2   zero=(0x01010101<0x000004d2)=0
0x800003ac:beq    t3,t4,0x000  (0x00000001==0x00000000)=0->pc=0x800003b0
0x800003b0:beq    t5,t6,0x000  (0x00000000==0x00000001)=0->pc=0x800003b4
0x800003b4:sltiu  t0,s11,0xfff   t0=(0xffffffff<0xffffffff)=0
0x800003b8:sltiu  t1,s3,0xc00   t1=(0x77777777<0xfffffc00)=1
0x800003bc:sltiu  t2,gp,0xfff   t2=(0x01010101<0xffffffff)=1
0x800003c0:sltiu  t3,tp,0x5aa   t3=(0x10101010<0x000005aa)=0
0x800003c4:sltiu  zero,ra,0x000   zero=(0x800009ec<0x00000000)=0
0x800003c8:beq    t0,t1,0x000  (0x00000000==0x00000001)=0->pc=0x800003cc
0x800003cc:beq    t2,t3,0x000  (0x00000001==0x00000000)=0->pc=0x800003d0
0x800003d0:srli   zero,ra,15      zero=0x800009ec>>15=0x00010000
0x800003d4:srli   zero,gp,16      zero=0x01010101>>16=0x00000101
0x800003d8:srli   zero,sp,7      zero=0x80007ff0>>7=0x010000ff
0x800003dc:srli   zero,tp,8      zero=0x10101010>>8=0x00101010
0x800003e0:srli   s11,s11,30      s11=0xffffffff>>30=0x00000003
0x800003e4:beq    t0,s11,0x000  (0x00000000==0x00000003)=0->pc=0x800003e8
0x800003e8:srai   s10,s10,31      s10=0xeeeeeeee>>>31=0xffffffff
0x800003ec:srai   t0,s9,31      t0=0xdddddddd>>>31=0xffffffff
0x800003f0:srai   zero,s7,7      zero=0xbbbbbbbb>>>7=0xff777777
0x800003f4:srai   zero,a4,8      zero=0xa4a4a4a4>>>8=0xffa4a4a4
0x800003f8:srai   zero,t5,15      zero=0x00000000>>>15=0x00000000
0x800003fc:bne    t0,s10,0x000  (0xffffffff!=0xffffffff)=0->pc=0x80000400
0x80000400:sll    t6,s9,t6     t6=0xdddddddd<<1=0xbbbbbbba
0x80000404:sll    t5,a4,s0     t5=0xa4a4a4a4<<4=0x4a4a4a40
0x80000408:sll    t4,t6,a6     t4=0xbbbbbbba<<6=0xeeeeee80
0x8000040c:sll    t3,a0,a1     t3=0xa0a0a0a0<<1=0x41414140
0x80000410:sll    zero,s8,zero     zero=0xcccccccc<<0=0xcccccccc
0x80000414:bge    t4,t5,0x000  (0xeeeeee80>=0x4a4a4a40)=0->pc=0x80000418
0x80000418:slt    t0,a0,s0     t0=(0xa0a0a0a0<0x44444444)=1
0x8000041c:slt    t1,s1,a7     t1=(0x55555555<0xa7a7a7a7)=0
0x80000420:slt    t2,s10,gp     t2=(0xffffffff<0x01010101)=1
0x80000424:slt    t3,tp,s8     t3=(0x10101010<0xcccccccc)=0
0x80000428:slt    t4,ra,a5     t4=(0x800009ec<0xa5a5a5a5)=1
0x8000042c:slt    t5,zero,a3     t5=(0x00000000<0xa3a3a3a3)=0
0x80000430:slt    t6,t6,s11     t6=(0xbbbbbbba<0x00000003)=1
0x80000434:bltu   t0,t1,0x000  (0x00000001<0x00000000)=0->pc=0x80000438
0x80000438:bgeu   t1,t2,0x000  (0x00000000>=0x00000001)=0->pc=0x8000043c
0x8000043c:sltu   t0,a0,s0     t0=(0xa0a0a0a0<0x44444444)=0
0x80000440:sltu   t1,s1,a7     t1=(0x55555555<0xa7a7a7a7)=1
0x80000444:sltu   t2,s10,gp     t2=(0xffffffff<0x01010101)=0
0x80000448:sltu   t3,tp,s8     t3=(0x10101010<0xcccccccc)=1
0x8000044c:sltu   t4,a5,ra     t4=(0xa5a5a5a5<0x800009ec)=0
0x80000450:sltu   t5,zero,a3     t5=(0x00000000<0xa3a3a3a3)=1
0x80000454:sltu   t6,s1,t6     t6=(0x55555555<0x00000001)=0
0x80000458:blt    t1,t0,0x000  (0x00000001<0x00000000)=0->pc=0x8000045c
0x8000045c:bge    t2,t3,0x000  (0x00000000>=0x00000001)=0->pc=0x80000460
0x80000460:srl    t6,a4,s4     t6=0xa4a4a4a4>>8=0x00a4a4a4
0x80000464:srl    t5,s4,a4     t5=0x88888888>>4=0x08888888
0x80000468:srl    t4,ra,sp     t4=0x800009ec>>16=0x00008000
0x8000046c:srl    t3,sp,ra     t3=0x80007ff0>>12=0x00080007
0x80000470:srl    t2,gp,tp     t2=0x01010101>>16=0x00000101
0x80000474:srl    t1,tp,gp     t1=0x10101010>>1=0x08080808
0x80000478:srl    t0,s11,s0     t0=0x00000003>>4=0x00000000
0x8000047c:beq    t3,t4,0x000  (0x00080007==0x00008000)=0->pc=0x80000480
0x80000480:bge    t0,t1,0x000  (0x00000000>=0x08080808)=0->pc=0x80000484
0x80000484:sra    t0,a5,t1     t0=0xa5a5a5a5>>>8=0xffa5a5a5
0x80000488:sra    t1,s5,t2     t1=0x99999999>>>1=0xcccccccc
0x8000048c:sra    t2,t5,t3     t2=0x08888888>>>7=0x00111111
0x80000490:sra    t3,s11,t4     t3=0x00000003>>>0=0x00000003
0x80000494:sra    t4,s9,t5     t4=0xdddddddd>>>8=0xffdddddd
0x80000498:sra    t5,sp,t6     t5=0x80007ff0>>>4=0xf80007ff
0x8000049c:sra    t6,gp,t0     t6=0x01010101>>>5=0x00080808
0x800004a0:bltu   t4,t3,0x000  (0xffdddddd<0x00000003)=0->pc=0x800004a4
0x800004a4:bge    t1,t0,0x000  (0xcccccccc>=0xffa5a5a5)=0->pc=0x800004a8
0x800004a8:jalr   zero,ra,0x000   pc=0x800009ec+0x00000000,zero=0x800004ac
0x800009ec:jal    ra,0xffd60     pc=0x800004ac,ra=0x800009f0
0x800004ac:addi   t0,s11,0xfff   t0=0x00000003+0xffffffff=0x00000002
0x800004b0:addi   t1,t1,0x000   t1=0xcccccccc+0x00000000=0xcccccccc
0x800004b4:addi   t2,a5,0x080   t2=0xa5a5a5a5+0x00000080=0xa5a5a625
0x800004b8:addi   t3,s5,0x0ff   t3=0x99999999+0x000000ff=0x99999a98
0x800004bc:addi   t4,t5,0x3ff   t4=0xf80007ff+0x000003ff=0xf8000bfe
0x800004c0:addi   t5,t1,0x400   t5=0xcccccccc+0x00000400=0xccccd0cc
0x800004c4:addi   t6,a1,0x800   t6=0xa1a1a1a1+0xfffff800=0xa1a199a1
0x800004c8:blt    t1,t6,0x000  (0xcccccccc<0xa1a199a1)=0->pc=0x800004cc
0x800004cc:xori   t6,t5,0xfff   t6=0xccccd0cc^0xffffffff=0x33332f33
0x800004d0:xori   t5,t6,0x001   t5=0x33332f33^0x00000001=0x33332f32
0x800004d4:xori   t4,s10,0x7ff   t4=0xffffffff^0x000007ff=0xfffff800
0x800004d8:xori   t3,a3,0x003   t3=0xa3a3a3a3^0x00000003=0xa3a3a3a0
0x800004dc:xori   t2,a1,0x800   t2=0xa1a1a1a1^0xfffff800=0x5e5e59a1
0x800004e0:xori   t1,s8,0x7bc   t1=0xcccccccc^0x000007bc=0xcccccb70
0x800004e4:xori   t0,t0,0x000   t0=0x00000002^0x00000000=0x00000002
0x800004e8:bge    t5,t6,0x000  (0x33332f32>=0x33332f33)=0->pc=0x800004ec
0x800004ec:ori    t4,s9,0xfff   t4=0xdddddddd|0xffffffff=0xffffffff
0x800004f0:ori    t3,a7,0xfff   t3=0xa7a7a7a7|0xffffffff=0xffffffff
0x800004f4:ori    t6,gp,0xfff   t6=0x01010101|0xffffffff=0xffffffff
0x800004f8:ori    t5,tp,0xfff   t5=0x10101010|0xffffffff=0xffffffff
0x800004fc:ori    t0,ra,0xfff   t0=0x800009f0|0xffffffff=0xffffffff
0x80000500:ori    t2,sp,0xfff   t2=0x80007ff0|0xffffffff=0xffffffff
0x80000504:ori    t1,zero,0xfff   t1=0x00000000|0xffffffff=0xffffffff
0x80000508:bne    t0,t1,0x000  (0xffffffff!=0xffffffff)=0->pc=0x8000050c
0x8000050c:andi   t2,t3,0xfff   t2=0xffffffff&0xffffffff=0xffffffff
0x80000510:andi   t5,t6,0x001   t5=0xffffffff&0x00000001=0x00000001
0x80000514:andi   t4,t4,0x002   t4=0xffffffff&0x00000002=0x00000002
0x80000518:andi   t0,s0,0x004   t0=0x44444444&0x00000004=0x00000004
0x8000051c:andi   t3,s1,0x3ff   t3=0x55555555&0x000003ff=0x00000155
0x80000520:andi   t1,s2,0x7ff   t1=0x66666666&0x000007ff=0x00000666
0x80000524:bltu   t2,t5,0x000  (0xffffffff<0x00000001)=0->pc=0x80000528
0x80000528:add    t0,ra,sp     t0=0x800009f0+0x80007ff0=0x000089e0
0x8000052c:add    t1,gp,zero     t1=0x01010101+0x00000000=0x01010101
0x80000530:add    t2,t2,s0     t2=0xffffffff+0x44444444=0x44444443
0x80000534:add    t3,s11,a5     t3=0x00000003+0xa5a5a5a5=0xa5a5a5a8
0x80000538:add    t4,a7,s1     t4=0xa7a7a7a7+0x55555555=0xfcfcfcfc
0x8000053c:add    t5,gp,t5     t5=0x01010101+0x00000001=0x01010102
0x80000540:add    t6,tp,s10     t6=0x10101010+0xffffffff=0x1010100f
0x80000544:bgeu   t5,t6,0x000  (0x01010102>=0x1010100f)=0->pc=0x80000548
0x80000548:sub    t0,t1,t2     t0=0x01010101-0x44444443=0xbcbcbcbe
0x8000054c:sub    t1,a1,s1     t1=0xa1a1a1a1-0x55555555=0x4c4c4c4c
0x80000550:sub    t2,s9,s11     t2=0xdddddddd-0x00000003=0xddddddda
0x80000554:sub    t3,a7,a0     t3=0xa7a7a7a7-0xa0a0a0a0=0x07070707
0x80000558:sub    t4,gp,sp     t4=0x01010101-0x80007ff0=0x81008111
0x8000055c:sub    t5,tp,ra     t5=0x10101010-0x800009f0=0x90100620
0x80000560:sub    t6,a5,zero     t6=0xa5a5a5a5-0x00000000=0xa5a5a5a5
0x80000564:blt    t5,t4,0x000  (0x90100620<0x81008111)=0->pc=0x80000568
0x80000568:xor    t0,s8,a3     t0=0xcccccccc^0xa3a3a3a3=0x6f6f6f6f
0x8000056c:xor    t1,a5,gp     t1=0xa5a5a5a5^0x01010101=0xa4a4a4a4
0x80000570:xor    t2,ra,sp     t2=0x800009f0^0x80007ff0=0x00007600
0x80000574:xor    t3,s9,s0     t3=0xdddddddd^0x44444444=0x99999999
0x80000578:xor    t4,s1,a7     t4=0x55555555^0xa7a7a7a7=0xf2f2f2f2
0x8000057c:xor    t5,gp,zero     t5=0x01010101^0x00000000=0x01010101
0x80000580:xor    t6,s2,s7     t6=0x66666666^0xbbbbbbbb=0xdddddddd
0x80000584:bge    t3,t6,0x000  (0x99999999>=0xdddddddd)=0->pc=0x80000588
0x80000588:or     t6,zero,a5     t6=0x00000000|0xa5a5a5a5=0xa5a5a5a5
0x8000058c:or     t5,a2,sp     t5=0xa2a2a2a2|0x80007ff0=0xa2a2fff2
0x80000590:or     t4,sp,tp     t4=0x80007ff0|0x10101010=0x90107ff0
0x80000594:or     t3,gp,s3     t3=0x01010101|0x77777777=0x77777777
0x80000598:or     t2,s6,a6     t2=0xaaaaaaaa|0xa6a6a6a6=0xaeaeaeae
0x8000059c:or     t1,zero,s11     t1=0x00000000|0x00000003=0x00000003
0x800005a0:or     t0,a4,a7     t0=0xa4a4a4a4|0xa7a7a7a7=0xa7a7a7a7
0x800005a4:beq    t3,t0,0x000  (0x77777777==0xa7a7a7a7)=0->pc=0x800005a8
0x800005a8:and    t0,s6,a5     t0=0xaaaaaaaa&0xa5a5a5a5=0xa0a0a0a0
0x800005ac:and    t1,a3,zero     t1=0xa3a3a3a3&0x00000000=0x00000000
0x800005b0:and    t2,sp,ra     t2=0x80007ff0&0x800009f0=0x800009f0
0x800005b4:and    t3,s8,a7     t3=0xcccccccc&0xa7a7a7a7=0x84848484
0x800005b8:and    t4,s0,a3     t4=0x44444444&0xa3a3a3a3=0x00000000
0x800005bc:and    t5,tp,gp     t5=0x10101010&0x01010101=0x00000000
0x800005c0:and    t6,s1,s11     t6=0x55555555&0x00000003=0x00000001
0x800005c4:bgeu   t1,t6,0x000  (0x00000000>=0x00000001)=0->pc=0x800005c8
0x800005c8:jalr   zero,ra,0x000   pc=0x800009f0+0x00000000,zero=0x800005cc
0x800009f0:jal    ra,0xffdee     pc=0x800005cc,ra=0x800009f4
0x800005cc:auipc  gp,0x00001     gp=0x800005cc+0x00001000=0x800015cc
0x800005d0:addi   gp,gp,0x0fe   gp=0x800015cc+0x000000fe=0x800016ca
0x800005d4:lb     t0,0x18f(gp)  t0=mem[0x80001859]=0xffffffaa
0x800005d8:lb     t1,0x18e(gp)  t1=mem[0x80001858]=0xffffffbb
0x800005dc:lb     t2,0x18d(gp)  t2=mem[0x80001857]=0xffffffcc
0x800005e0:lb     t3,0x18c(gp)  t3=mem[0x80001856]=0xffffffdd
0x800005e4:lb     t4,0x18b(gp)  t4=mem[0x80001855]=0xffffffaa
0x800005e8:lb     t5,0x18a(gp)  t5=mem[0x80001854]=0xffffffbb
0x800005ec:lb     t6,0x189(gp)  t6=mem[0x80001853]=0xffffffcc
0x800005f0:beq    t0,t6,0x000  (0xffffffaa==0xffffffcc)=0->pc=0x800005f4
0x800005f4:lh     t0,0x18e(gp)  t0=mem[0x80001858]=0xffffaabb
0x800005f8:lh     t1,0x18d(gp)  t1=mem[0x80001857]=0xffffbbcc
0x800005fc:lh     t2,0x18c(gp)  t2=mem[0x80001856]=0xffffccdd
0x80000600:lh     t3,0x18b(gp)  t3=mem[0x80001855]=0xffffddaa
0x80000604:lh     t4,0x18a(gp)  t4=mem[0x80001854]=0xffffaabb
0x80000608:lh     t5,0x17f(gp)  t5=mem[0x80001849]=0xffffddaa
0x8000060c:lh     t6,0x17e(gp)  t6=mem[0x80001848]=0xffffaabb
0x80000610:beq    t5,t6,0x000  (0xffffddaa==0xffffaabb)=0->pc=0x80000614
0x80000614:lw     t0,0xfff(sp)  t0=mem[0x80007fef]=0x0000b000
0x80000618:lw     t1,0xffe(gp)  t1=mem[0x800016c8]=0xccdd0000
0x8000061c:lw     t2,0xffd(gp)  t2=mem[0x800016c7]=0xdd000000
0x80000620:lw     t3,0x000(ra)  t3=mem[0x800009f4]=0xd15ff0ef
0x80000624:lw     t4,0x001(gp)  t4=mem[0x800016cb]=0xddaabbcc
0x80000628:lw     t5,0x002(gp)  t5=mem[0x800016cc]=0xccddaabb
0x8000062c:lw     t6,0x003(gp)  t6=mem[0x800016cd]=0xbbccddaa
0x80000630:lbu    t0,0x12b(gp)  t0=mem[0x800017f5]=0x000000aa
0x80000634:lbu    t1,0x12a(gp)  t1=mem[0x800017f4]=0x000000bb
0x80000638:lbu    t2,0x129(gp)  t2=mem[0x800017f3]=0x000000cc
0x8000063c:lbu    t3,0x128(gp)  t3=mem[0x800017f2]=0x000000dd
0x80000640:lbu    t4,0x127(gp)  t4=mem[0x800017f1]=0x000000aa
0x80000644:lbu    t5,0x126(gp)  t5=mem[0x800017f0]=0x000000bb
0x80000648:lbu    t6,0x127(gp)  t6=mem[0x800017f1]=0x000000aa
0x8000064c:bne    t0,t6,0x000  (0x000000aa!=0x000000aa)=0->pc=0x80000650
0x80000650:lhu    t0,0x0c6(gp)  t0=mem[0x80001790]=0x0000aabb
>exception:illegal_instruction       cause=0x00000002,epc=0x80000650,tval=0x0c61d283
>exception:instruction_fault         cause=0x00000001,epc=0x00000000,tval=0x00000000
